Branch Name,Street Address,County,State,Zipcode
north sherwood branch,11311 FLORIDA BOULEVARD,East Baton Rouge,LA,70815.0
south sherwood forest branch,3554 SHERWOOD FOREST BOULEVARD,East Baton Rouge,LA,70816.0
o'neal lane branch,1312 O'NEAL LANE,East Baton Rouge,LA,70816.0
sherwood forest branch,1818 SOUTH SHERWOOD FOREST BOULEVARD,East Baton Rouge,LA,70816.0
shenandoah branch,6170 JONES CREEK ROAD,East Baton Rouge,LA,70817.0
jones creek albertsons branch,15232 GEORGE O'NEAL ROAD,East Baton Rouge,LA,70817.0
country club albertsons branch,15128 AIRLINE HIGHWAY,East Baton Rouge,LA,70817.0
bluebonnet branch,6851 BLUEBONNET BOULEVARD,East Baton Rouge,LA,70836.0
east 80 branch,4699 HIGHWAY 80 EAST,Bossier,LA,71037.0
line avenue branch,1730 LINE AVENUE,Caddo,LA,71101.0
shreveport main branch,400 TEXAS STREET,Caddo,LA,71101.0
broadmoor shreveport branch,3303 YOUREE DRIVE,Caddo,LA,71105.0
youree south drive-up branch,6555 YOUREE DRIVE,Caddo,LA,71105.0
southfield albertson's branch,105 SOUTHFIELD ROAD,Caddo,LA,71105.0
youree south banking center branch,6555 YOUREE DRIVE,Caddo,LA,71105.0
e 70th shreveport branch,322 EAST 70TH STREET,Caddo,LA,71106.0
north shreveport branch,150 FREESTATE BOULEVARD,Caddo,LA,71107.0
greenwood road branch,3721 GREENWOOD ROAD,Caddo,LA,71109.0
airline bossier branch,2039 AIRLINE DRIVE,Bossier,LA,71111.0
old minden rd branch,1935 AIRLINE DRIVE,Bossier,LA,71112.0
south bossier branch,4330 BARKSDALE BOULEVARD,Bossier,LA,71112.0
southern hills shreveport branch,9096 MANSFIELD ROAD,Caddo,LA,71118.0
huntington 70th street branch,5959 WEST 70TH STREET,Caddo,LA,71129.0
fourth street branch,700 NORTH FOURTH STREET,Ouachita,LA,71201.0
northside branch,1900 NORTH 18TH STREET,Ouachita,LA,71201.0
jackson street - monroe branch,603 JACKSON STREET,Ouachita,LA,71201.0
stubbs and n 18th street branch,1101 NORTH 18TH STREET,Ouachita,LA,71201.0
forsythe branch,2211 FORSYTHE AVENUE,Ouachita,LA,71201.0
southeast mlk jr branch,1800 MARTIN LUTHER KING JR DRIVE,Ouachita,LA,71202.0
university monroe branch,1200 STERLINGTON ROAD,Ouachita,LA,71203.0
eastside branch,111 OLD BASTROP ROAD,Ouachita,LA,71203.0
ruston main branch,400 NORTH TRENTON STREET,Lincoln,LA,71270.0
i-20 branch,117 N I-20 SERVICE ROAD EAST,Lincoln,LA,71270.0
glenwood branch,131 THOMAS ROAD,Ouachita,LA,71291.0
highland west monroe branch,2600 CYPRESS STREET,Ouachita,LA,71291.0
alexandria main branch,400 MURRAY STREET,Rapides,LA,71301.0
memorial drive alexandria branch,2203 MEMORIAL DRIVE,Rapides,LA,71301.0
jackson street branch,3820 JACKSON STREET,Rapides,LA,71303.0
tioga branch,4629 SHREVEPORT HIGHWAY,Rapides,LA,71360.0
edgewood drive branch,3099 HIGHWAY 28 EAST,Rapides,LA,71360.0
ball branch,5900 MONROE HIGHWAY,Rapides,LA,71405.0
edmond rd and santa fe branch,2307 W. EDMOND ROAD,Oklahoma,OK,73003.0
broadway and 15th branch,18 EAST 15TH STREET,Oklahoma,OK,73013.0
choctaw branch,14483 N.E. 23RD STREET,Oklahoma,OK,73020.0
bryant and 2nd branch,300 SOUTH BRYANT AVENUE,Oklahoma,OK,73034.0
edmond central drive-up branch,25 EAST SECOND ST,Oklahoma,OK,73034.0
norman main branch,116 SOUTH PETERS AVENUE,Cleveland,OK,73069.0
norman drive-up branch,320 EAST COMANCHE STREET,Cleveland,OK,73069.0
brookhaven branch,3600 WEST ROBINSON STREET,Cleveland,OK,73072.0
yukon banking center branch,1795 GARTH BROOKS BOULEVARD,Canadian,OK,73099.0
oklahoma city downtown branch,320 NORTH BROADWAY AVENUE,Oklahoma,OK,73102.0
western and 22nd branch,2200 NORTH WESTERN AVENUE,Oklahoma,OK,73106.0
air depot and 15th branch,7005 SOUTHEAST 15TH STREET,Oklahoma,OK,73110.0
central midwest city branch,301 NORTH MIDWEST BOULEVARD,Oklahoma,OK,73110.0
may avenue and 37th branch,3724 NORTH MAY AVENUE,Oklahoma,OK,73112.0
nw expressway and portland branch,6303 N. PORTLAND AVENUE,Oklahoma,OK,73112.0
nichols hills branch,1200 NORTHWEST 63RD STREET,Oklahoma,OK,73116.0
north may and 122nd branch,12324 NORTH MAY AVENUE,Oklahoma,OK,73120.0
may & memorial banking center branch,13805 NORTH MAY AVENUE,Oklahoma,OK,73134.0
walker and i 240 branch,7401 SOUTH WALKER AVENUE,Oklahoma,OK,73139.0
penn and i 240 branch,7400 SOUTH PENNSYLVANIA AVENUE,Oklahoma,OK,73159.0
rockwell and 122nd branch,12200 NORTH ROCKWELL AVENUE,Oklahoma,OK,73162.0
south western and 119th branch,11920 SOUTH WESTERN AVENUE,Cleveland,OK,73170.0
broken arrow branch,701 W. NEW ORLEANS STREET,Tulsa,OK,74011.0
jenks branch,700 WEST MAIN STREET,Tulsa,OK,74037.0
boston and 4th branch,321 S BOSTON,Tulsa,OK,74103.0
apache branch,601 E. APACHE STREET,Tulsa,OK,74106.0
utica square branch,2070 UTICA SQUARE,Tulsa,OK,74114.0
sheridan and 66th branch,6660 SOUTH SHERIDAN ROAD,Tulsa,OK,74133.0
memorial and 91st branch,7837 EAST 91ST STREET,Tulsa,OK,74133.0
yale and 41st branch,5307 EAST 41ST STREET,Tulsa,OK,74135.0
lewis and 61st branch,6140 SOUTH LEWIS AVENUE,Tulsa,OK,74136.0
garnett and 41st branch,4101 SOUTH GARNETT ROAD,Tulsa,OK,74146.0
marsh and spring valley branch,14250 MARSH LANE,Dallas,TX,75001.0
allen east banking center branch,819 SOUTH ALLEN HEIGHTS DRIVE,Collin,TX,75002.0
exchange pkwy and angel pkwy branch,1204 ANGEL PKWY,Collin,TX,75002.0
stacy and us 75 branch,"190 E STACY ROAD, BLDG 600",Collin,TX,75002.0
josey and jackson branch,1820 EAST JACKSON ROAD,Dallas,TX,75006.0
old denton/frankford banking center branch,3047 OLD DENTON ROAD,Denton,TX,75007.0
north josey and rosemeade branch,3654 N. JOSEY LN.,Denton,TX,75007.0
hebron parkway and josey branch,1801 HEBRON PARKWAY EAST,Denton,TX,75010.0
hebron parkway branch,1000 WEST HEBRON PARKWAY,Denton,TX,75010.0
mcdermott and watters branch,908 WEST MCDERMOTT DRIVE,Collin,TX,75013.0
mcdermott and alma branch,1326 WEST MCDERMOTT DRIVE,Collin,TX,75013.0
coppell branch,1000 S BELT LINE ROAD,Dallas,TX,75019.0
denton tap banking center branch,616 NORTH DENTON TAP ROAD,Dallas,TX,75019.0
macarthur and sandy lake branch,134 N MACARTHUR BLVD,Dallas,TX,75019.0
denison branch,231 WEST MAIN STREET,Grayson,TX,75020.0
drive-in branch,312 WEST WOODARD,Grayson,TX,75020.0
flower mound branch,2051 LONG PRAIRIE RD,Denton,TX,75022.0
spring creek & coit banking center branch,6060 COIT ROAD,Collin,TX,75023.0
west parker and independance branch,3041 WEST PARKER ROAD,Collin,TX,75023.0
spring creek and hwy 75 branch,161 W SPRING CREEK PKWY,Collin,TX,75023.0
legacy and coit branch,4004 LEGACY DRIVE,Collin,TX,75024.0
custer and mcdermott bkg. ctr. branch,9105 CUSTER ROAD,Collin,TX,75025.0
independence & hedgcoxe bnkg ctr brh,8000 INDEPENDENCE PARKWAY,Collin,TX,75025.0
coit and 121 branch,3720 STATE HIGHWAY 121,Collin,TX,75025.0
highlands ranch banking center branch,6240 LONG PRAIRIE ROAD,Denton,TX,75028.0
cross timbers and morriss branch,2211 CROSS TIMBERS ROAD,Denton,TX,75028.0
cross timbers & bruton orand banking center branch,4101 CROSS TIMBERS ROAD,Denton,TX,75028.0
horizon and ralph hall branch,2994 HORIZON RD,Rockwall,TX,75032.0
preston and eldorado banking ctr. branch,11551 PRESTON ROAD,Collin,TX,75033.0
eldorado and dnt branch,4900 ELDORADO PKWY,Denton,TX,75033.0
preston and lebanon branch,4998 PRESTON ROAD,Collin,TX,75034.0
main and teel branch,3127 WEST MAIN STREET,Denton,TX,75034.0
preston and warren branch,3382 PRESTON ROAD,Collin,TX,75034.0
lagacy and lebanon banking center branch,5375 LEBANON ROAD,Collin,TX,75034.0
preston and rolater branch,7680 PRESTON RD.,Collin,TX,75034.0
walnut hill and macarthur branch,5530 MACARTHUR BOULEVARD,Dallas,TX,75038.0
garland branch,111 S GARLAND AVE,Dallas,TX,75040.0
north garland drive-up branch,5225 NORTH GARLAND AVENUE,Dallas,TX,75040.0
firewheel banking center branch,4430 LAVON DRIVE,Dallas,TX,75040.0
centerville garland branch,1000 WEST CENTERVILLE ROAD,Dallas,TX,75041.0
west garland branch,3445 BUCKINGHAM ROAD,Dallas,TX,75042.0
garland broadway branch,3200 BROADWAY,Dallas,TX,75043.0
1 30 and broadway branch,561 WEST INTERSTATE 30,Dallas,TX,75043.0
arapahpo & shiloh branch,2655 ARAPAHO ROAD,Dallas,TX,75044.0
grand prairie branch,700 EAST MAIN STREET,Dallas,TX,75050.0
post & paddock branch,2322 NORTH HIGHWAY 360,Tarrant,TX,75050.0
grand prairie banking branch,220 NORTH BELT LINE ROAD,Dallas,TX,75050.0
south carrier parkway branch,"4146 S CARRIER PKWY, STE 614",Dallas,TX,75052.0
camp wisdom and 360 branch,3061 WEST CAMP WISDOM ROAD,Tarrant,TX,75052.0
south carrier pkwy and i 20 branch,3980 SOUTH CARRIER PARKWAY,Dallas,TX,75052.0
the colony branch,4895 ST HWY 121,Denton,TX,75056.0
lewisville - lakepointe branch,729 HEBRON PKWY,Denton,TX,75057.0
irving boulevard branch,111 EAST IRVING BOULEVARD,Dallas,TX,75060.0
las colinas branch,460 EAST JOHN CARPENTER FREEWAY,Dallas,TX,75062.0
las colinas motor bank branch,460 EAST JOHN CARPENTER FREEWAY,Dallas,TX,75062.0
irving branch,2904 NORTH BELT LINE ROAD,Dallas,TX,75062.0
drive-in facility branch,2902 NORTH BELT LINE ROAD,Dallas,TX,75062.0
west airport freeway branch,1307 WEST AIRPORT FREEWAY,Dallas,TX,75062.0
macarthur park branch,7825 MACARTHUR BOULEVARD,Dallas,TX,75063.0
valley ranch branch,8585 NORTH MACARTHUR BOULEVARD,Dallas,TX,75063.0
hickory creek branch,1017 HICKORY CREEK BLVD,Denton,TX,75065.0
lewisville branch,925 WEST MAIN STREET,Denton,TX,75067.0
lewisville civic branch,1201 WEST MAIN STREET,Denton,TX,75067.0
little elm banking center branch,2701 FM 423,Denton,TX,75068.0
mckinney redbud banking ctr branch,1680 WEST UNIVERSITY DRIVE,Collin,TX,75069.0
lake forest and eldorado branch,4990 W ELDORADO PARKWAY,Collin,TX,75070.0
eldorado and 75 branch,2091 ELDORADO PARKWAY,Collin,TX,75070.0
hardin and el dorado branch,3150 EL DORADO PKWY,Collin,TX,75070.0
custer and 720 branch,5101 S CUSTER RD,Collin,TX,75070.0
north central expwy branch,1727 N CENTRAL EXPY,Collin,TX,75070.0
custer and virginia branch,104 N CUSTER ROAD,Collin,TX,75071.0
central and east 15th st branch,551 EAST 15TH STREET,Collin,TX,75074.0
custer and 15th branch,2000 W 15TH STREET,Collin,TX,75075.0
highland village branch center,2370 FM 407,Denton,TX,75077.0
richardson branch,100 NORTH CENTRAL EXPRESSWAY,Dallas,TX,75080.0
richardson motor bank branch,235 NORTH CENTRAL EXPRESSWAY,Dallas,TX,75080.0
coit/beltline branch,110 NORTH COIT,Dallas,TX,75080.0
renner and custer branch,720 W RENNER RD,Collin,TX,75080.0
richardson square branch,1505 E BELT LINE RD,Dallas,TX,75081.0
north richardson branch,780 EAST CAMPBELL ROAD,Dallas,TX,75081.0
1600 n. plano rd branch,"1600 N. PLANO RD., SUITE 2500",Dallas,TX,75081.0
renner and north star branch,4175 E RENNER RD,Collin,TX,75082.0
rockwall banking center branch,708 EAST INTERSTATE 30,Rockwall,TX,75087.0
hwy 66 and lakeshore branch,900 W RUSK ST,Rockwall,TX,75087.0
rowlett branch,3431 HIGHWAY 66,Dallas,TX,75088.0
sr 66 and dalrock branch,6602 DALROCK ROAD,Rockwall,TX,75089.0
sherman branch,200 NORTH TRAVIS STREET,Grayson,TX,75090.0
plano and preston branch,1517 PRESTON ROAD,Collin,TX,75093.0
parker and tollway branch,5976 WEST PARKER ROAD,Collin,TX,75093.0
coit and park branch,4001 W PARK BLVD,Collin,TX,75093.0
west park and preston branch,5020 WEST PARK BOULEVARD,Collin,TX,75093.0
preston and spring creek branch,5900 PRESTON ROAD,Collin,TX,75093.0
willow bend banking center branch,6201 WEST PARK BOULEVARD,Collin,TX,75093.0
murphy & 544 banking center branch,206 WEST FM 544,Collin,TX,75094.0
wylie banking center branch,514 SOUTH HIGHWAY 78,Collin,TX,75098.0
cedar hill banking center branch,225 NORTH HIGHWAY 67,Dallas,TX,75104.0
corsicana main branch,101 NORTH BEATON STREET,Navarro,TX,75110.0
desoto branch,"900 NORTH POLK STREET, SUITE #100",Dallas,TX,75115.0
beltline and westmoreland branch,721 W BELT LINE RD,Dallas,TX,75115.0
duncanville branch,303 SOUTH MAIN STREET,Dallas,TX,75116.0
duncanville branch,103 N CEDAR RIDGE DR,Dallas,TX,75116.0
forney branch,401 N FM 548,Kaufman,TX,75126.0
pleasant run & bluegrove banking center branch,1522 WEST PLEASANT RUN ROAD,Dallas,TX,75146.0
valley creek branch,801 E. BRUTON RD,Dallas,TX,75149.0
town east branch,1345 TOWN EAST BOULEVARD,Dallas,TX,75150.0
gus thomasson and town east branch,3611 GUS THOMASSON ROAD,Dallas,TX,75150.0
lake june banking center branch,12329 LAKE JUNE,Dallas,TX,75180.0
downtown dallas branch,2200 ROSS AVENUE,Dallas,TX,75201.0
motor bank facility branch,2101 PEARL,Dallas,TX,75201.0
woodall rogers branch,1919 WOODALL ROGERS FREEWAY,Dallas,TX,75201.0
dallas main banking center branch,"1700 PACIFIC, STE 125",Dallas,TX,75201.0
crescent court branch,"300 CRESCENT COURT, SUITE 400",Dallas,TX,75201.0
main & akard banking center branch,1415 MAIN STREET,Dallas,TX,75202.0
dallas uptown branch,3610 MCKINNEY,Dallas,TX,75204.0
ross and prairie branch,4709 ROSS AVENUE,Dallas,TX,75204.0
hillcrest branch,6437 HILLCREST AVENUE,Dallas,TX,75205.0
campbell centre branch,6251 GREENVILLE AVENUE,Dallas,TX,75206.0
mockingbird banking center branch,5646 EAST MOCKINGBIRD LANE,Dallas,TX,75206.0
inwood and stemmons motor bank brh,2807 IRVING BLVD,Dallas,TX,75207.0
market center branch,"1825 NORTH MARKET CENTER BOULEVARD, SUITE100",Dallas,TX,75207.0
trinity branch,1881 SYLVAN AVENUE,Dallas,TX,75208.0
jefferson-fiesta branch,611 WEST JEFFERSON BOULEVARD,Dallas,TX,75208.0
west 12th street and s admas branch,505 W 12TH STREET,Dallas,TX,75208.0
lovers lane & devonshire bnk cntr br,5647 WEST LOVERS LANE,Dallas,TX,75209.0
lovers and innwood branch,5220 WEST LOVERS LANE,Dallas,TX,75209.0
stevens park banking center branch,2530 FORT WORTH AVENUE,Dallas,TX,75211.0
west illinois branch,3730 W ILLINOIS AVE,Dallas,TX,75211.0
hillside branch,6310 EAST MOCKINGBIRD LANE,Dallas,TX,75214.0
martin luther king dallas branch,2833 MARTIN LUTHER KING BOULEVARD,Dallas,TX,75215.0
southeast oak cliff branch,4435 SOUTH LANCASTER,Dallas,TX,75216.0
pleasant grove branch,1838 SOUTH BUCKNER BOULEVARD,Dallas,TX,75217.0
lake june & masters bnk ctr branch,10321 LAKE JUNE ROAD,Dallas,TX,75217.0
casa linda branch,9409 GARLAND ROAD,Dallas,TX,75218.0
lemmon avenue branch,4512 LEMMON AVENUE,Dallas,TX,75219.0
oaklawn & wycliff banking center branch,4236 WYCLIFF AVENUE,Dallas,TX,75219.0
preston hollow branch,4343 W NORTHWEST HIGHWAY,Dallas,TX,75220.0
oak cliff branch,3929 SOUTH POLK STREET AT HIGHWAY 67,Dallas,TX,75224.0
wynnewood branch,400 WYNNEWOOD VILLAGE,Dallas,TX,75224.0
wynnewood motorbank branch,150 WYNNEWOOD VILLAGE,Dallas,TX,75224.0
preston branch,6015 WELDON HOWELL PKWY,Dallas,TX,75225.0
preston motorbank branch,8022 DOUGLAS,Dallas,TX,75225.0
preston center motor bank branch,6015 WELDON HOWELL PKWY,Dallas,TX,75225.0
casa view branch,2325 GUS THOMASSON ROAD,Dallas,TX,75228.0
st. francis branch,8928 E R L THORNTON FREEWAY,Dallas,TX,75228.0
walnut hill and monroe branch,2945 WALNUT HILL LANE,Dallas,TX,75229.0
park forest branch,11770 MARSH LANE,Dallas,TX,75229.0
south preston royal branch,10729 PRESTON ROAD,Dallas,TX,75230.0
quarum motor bank branch,13101 PRESTON ROAD,Dallas,TX,75230.0
preston royal branch,10803 PRESTON ROAD,Dallas,TX,75230.0
preston forest branch,11611 PRESTON FOREST VILLAGE,Dallas,TX,75230.0
meadow central branch,10501 N. CENTRAL EXPY,Dallas,TX,75231.0
skillman and larmanda branch,6400 SKILLMAN ST,Dallas,TX,75231.0
farmers branch,12897 JOSEY LANE,Dallas,TX,75234.0
drive-thru facility branch,12875 JOSEY LANE,Dallas,TX,75234.0
valley view branch,2301 VALLEY VIEW LANE,Dallas,TX,75234.0
exchange park branch,6300 HARRY HINES BOULEVARD,Dallas,TX,75235.0
redbird branch,3535 WEST CAMP WISDOM,Dallas,TX,75237.0
lake highlands branch,9634 AUDELIA RD,Dallas,TX,75238.0
ferndale and northwest highway branch,8530 FERNDALE ROAD,Dallas,TX,75238.0
lincoln centre branch,"5400 LBJ FREEWAY, SUITE 150",Dallas,TX,75240.0
preston and dilbeck banking center branch,13398 PRESTON ROAD,Dallas,TX,75240.0
lbj and abrams branch,9401 LBJ FREEWAY,Dallas,TX,75243.0
forest and greenville branch,9049 FOREST LANE,Dallas,TX,75243.0
arapaho and hillcrest branch,6969 ARAPAHO ROAD,Dallas,TX,75248.0
coit & campbell banking center branch,16831 COIT ROAD,Dallas,TX,75248.0
beltline and montfort branch,15202 MONTFORT DR,Dallas,TX,75248.0
prestonwood branch,6021 CAMPBELL ROAD,Dallas,TX,75248.0
preston and beltline branch,15114 PRESTON RD,Dallas,TX,75248.0
park central motor bank branch,12741 MERIT DRIVE,Dallas,TX,75251.0
park central branch,12900 COIT ROAD,Dallas,TX,75251.0
frankfort preston branch,18320 PRESTON ROAD,Collin,TX,75252.0
addison branch,14114 DALLAS PARKWAY A150,Dallas,TX,75254.0
frankford & midway banking center branch,18220 MIDWAY ROAD,Collin,TX,75287.0
frankford crossing branch,4615 FRANKFORD ROAD,Collin,TX,75287.0
greenville banking center branch,5906 WESLEY STREET,Hunt,TX,75402.0
commerce branch,1305 WASHINGTON STREET,Hunt,TX,75428.0
longview banking center branch,116 EAST SOUTH STREET,Gregg,TX,75601.0
loop 281 and gilmer branch,1720 W LOOP 281,Gregg,TX,75604.0
judson road branch,2606 JUDSON ROAD,Gregg,TX,75605.0
marshall branch,112 W AUSTIN ST,Harrison,TX,75670.0
marshall motor branch,112 EAST AUSTIN STREET,Harrison,TX,75670.0
loop 323 and erwin branch,140 S SOUTHWEST LOOP 323,Smith,TX,75702.0
tyler branch,100 INDEPENDENCE PLACE,Smith,TX,75703.0
broadway and southtown branch,6825 S BROADWAY AVE,Smith,TX,75703.0
troup hwy branch,5085 TROUP HWY,Smith,TX,75707.0
downtown arlington branch,500 EAST BORDER STREET,Tarrant,TX,76010.0
detached facility branch,501 EAST SECOND STREET,Tarrant,TX,76010.0
pioneer parkway branch,1600 EAST PIONEER PARKWAY,Tarrant,TX,76010.0
arkansas lane branch,2535 ARKANSAS LN,Tarrant,TX,76010.0
north collins branch,2111 N COLLINS ST,Tarrant,TX,76011.0
collins & randol mills bnkg ctr brh,1001 NORTH COLLINS STREET,Tarrant,TX,76011.0
north cooper branch,755 LAMAR BOULEVARD WEST,Tarrant,TX,76012.0
central arlington branch,700 WEST ARKANSAS LANE,Tarrant,TX,76013.0
bowen drive-up facility branch,1435 SOUTH BOWEN ROAD,Tarrant,TX,76013.0
arlington main branch,2300 JAMES STREET,Tarrant,TX,76014.0
arlington drive-up facility branch,2300 JAMES STREET,Tarrant,TX,76014.0
matlock & arbrook banking branch,3751 MATLOCK,Tarrant,TX,76015.0
south cooper and arbrook branch,3800 S COOPER,Tarrant,TX,76015.0
little road branch,4330 LITTLE ROAD,Tarrant,TX,76016.0
little road and i 20 branch,4500 LITTLE ROAD,Tarrant,TX,76016.0
south arlington branch,4828 SOUTH COOPER STREET,Tarrant,TX,76017.0
south cooper branch,1801 SOUTHWEST GREEN OAKS BOULEVARD,Tarrant,TX,76017.0
bedford harwood branch,2204 HARWOOD ROAD,Tarrant,TX,76021.0
brown trail branch,2901 BROWN TRAIL,Tarrant,TX,76021.0
burleson,155 NW JOHN JONES,Johnson,TX,76028.0
colleyville branch,5000 COLLEYVILLE BOULEVARD,Tarrant,TX,76034.0
glade and heritage banking center branch,3904 GLADE ROAD,Tarrant,TX,76034.0
crowley and renfro branch,1001 S CROWLEY RD,Tarrant,TX,76036.0
euless boulevard branch,1010 WEST EULESS BOULEVARD,Tarrant,TX,76040.0
granbury branch,1051 EAST HIGHWAY 377,Hood,TX,76048.0
grapevine branch,1100 WILLIAM D TATE AVENUE,Tarrant,TX,76051.0
hurst branch,1800 PRECINCT LINE RD,Tarrant,TX,76054.0
mansfield branch,990 NORTH WALNUT CREEK DRIVE,Tarrant,TX,76063.0
debbie and matlock banking ctr. branch,2980 MATLOCK ROAD,Tarrant,TX,76063.0
south mansfield branch,111 W DEBBIE LN,Tarrant,TX,76063.0
highway 360 and east broad street branch,3340 EAST BROAD STREET,Tarrant,TX,76063.0
midlothian branch,1371 W MAIN ST,Ellis,TX,76065.0
weatherford branch,225 EAST INTERSTATE 20,Parker,TX,76086.0
southlake blvd and randol mill branch,2300 W SOUTHLAKE BLVD,Tarrant,TX,76092.0
southlake branch,1700 EAST SOUTHLAKE BOULEVARD,Tarrant,TX,76092.0
fort worth motor bank branch,401 EAST WEATHERFORD,Tarrant,TX,76102.0
downtown forth worth branch,420 THROCKMORTON,Tarrant,TX,76102.0
ft. worth east branch,2001 BEACH STREET,Tarrant,TX,76103.0
fort worth motorbank branch,2125 HUDSON STREET,Tarrant,TX,76103.0
medical district banking ctr branch,708 WEST ROSEDALE,Tarrant,TX,76104.0
west side fort worth branch,600 BAILEY AVENUE,Tarrant,TX,76107.0
westside motorbank branch,601 ARCH ADAMS,Tarrant,TX,76107.0
i-30 and university banking center branch,1523 SOUTH UNIVERSITY DRIVE,Tarrant,TX,76107.0
clifford and western trade branch,9440 CLIFFORD RD,Tarrant,TX,76108.0
riverside branch,401 NORTH COLONIAL STREET,Tarrant,TX,76111.0
dunbar banking center branch,6040 RAMEY AVE,Tarrant,TX,76112.0
mccart westcreek branch,6225 MCCART AVENUE,Tarrant,TX,76113.0
ridgmar branch,421 ALTA MERE ROAD,Tarrant,TX,76114.0
la gran branch,"4200 SOUTHWEST FREEWAY (I-35W), SUITE 1",Tarrant,TX,76115.0
ridglea branch,6351 CAMP BOWIE BOULEVARD,Tarrant,TX,76116.0
camp bowie w and normandale branch,9112 CAMP BOWIE W,Tarrant,TX,76116.0
southwest and vickery branch,6700 W VICKERY,Tarrant,TX,76116.0
forest hill branch,3217 CALIFORNIA PARKWAY,Tarrant,TX,76119.0
risinger & hulen banking center branch,8601 SOUTH HULEN STREET,Tarrant,TX,76123.0
benbrook branch,8820 BENBROOK HIGHWAY,Tarrant,TX,76126.0
hulen mall branch,4600 SOUTH HULEN,Tarrant,TX,76132.0
cityview branch,4701 BRYANT IRVIN ROAD,Tarrant,TX,76132.0
sycamore school and mccart banking center branch,7630 MCCART AVENUE,Tarrant,TX,76133.0
lake worth branch jacksboro highway,6543 LAKE WORTH BOULEVARD,Tarrant,TX,76135.0
fossil creek branch,7367 N BEACH ST,Tarrant,TX,76137.0
north beach branch,4501 WESTERN CENTER BOULEVARD,Tarrant,TX,76137.0
everman branch,1000 EVERMAN ROAD,Tarrant,TX,76140.0
rufe snow branch,6624 WATAUGA ROAD,Tarrant,TX,76148.0
watauga branch,"8448 DENTON HIGHWAY, STE.",Tarrant,TX,76148.0
saginaw branch,1429 N SAGINAW BLVD,Tarrant,TX,76179.0
richland hills branch,7000 GRAPEVINE HIGHWAY,Tarrant,TX,76180.0
north richland hills brnch branch,8901 TARRANT PARKWAY,Tarrant,TX,76180.0
airport fwy n richland hills branch,8625 AIRPORT FREEWAY,Tarrant,TX,76180.0
university of north texas branch,"901 AVENUE C, SUITE B",Denton,TX,76201.0
w university and hinkle branch,1200 WEST UNIVERSITY DRIVE,Denton,TX,76201.0
golden triangle mall branch,2310 COLORADO BOULEVARD,Denton,TX,76205.0
teasley and hickory creek branch,5005 TEASLEY LN,Denton,TX,76210.0
beach & north tarrant bnkg ctr branh,4425 NORTH TARRANT PARKWAY,Tarrant,TX,76244.0
beach and golden triangle branch,4420 GOLDEN TRIANGLE BLVD,Tarrant,TX,76244.0
keller branch,980 KELLER PARKWAY,Tarrant,TX,76248.0
roanoke banking center branch,101 TEXAS 114,Denton,TX,76262.0
hamilton 8th st branch,908 8TH STREET,Wichita,TX,76301.0
southwest tower branch,4245 KEMP BOULEVARD,Wichita,TX,76308.0
elliot street drive-up branch,2626 EAST ELLIOTT,Wichita,TX,76308.0
scott street drive-up branch,500 SCOTT STREET,Wichita,TX,76308.0
temple banking center branch,2362 SOUTHWEST HK DODGEN LOOP,Bell,TX,76504.0
harker heights branch,"201 E CENTRAL TEXAS EXPY, UNIT 1800",Bell,TX,76548.0
taylor branch,3709 NORTH MAIN STREET,Williamson,TX,76574.0
bellmead wallmart branch,1521 NORTH INTERSTATE 35,McLennan,TX,76705.0
new road branch,320 NEW ROAD,McLennan,TX,76710.0
midway banking center branch,800 HEWITT DRIVE,McLennan,TX,76712.0
houston main office,712 MAIN STREET,Harris,TX,77002.0
motor bank branch,212 MILAM STREET,Harris,TX,77002.0
allen center branch,"500 DALLAS ST, STE L-10",Harris,TX,77002.0
houston tower branch,600 TRAVIS,Harris,TX,77002.0
westchase drive-up branch,2805 ELMSIDE,Harris,TX,77002.0
center point energy branch,"1111 LOUISIANA, SUITE 100",Harris,TX,77002.0
riverside branch,5445 ALMEDA,Harris,TX,77004.0
kirby and sunset branch,5505 KIRBY DR,Harris,TX,77005.0
midtown banking center branch,600 MCGOWEN STREET,Harris,TX,77006.0
montrose boulevard branch,4313 MONTROSE BOULEVARD,Harris,TX,77006.0
washington @ studemont bkg. ctr. branch,3034 WASHINGTON AVENUE,Harris,TX,77007.0
washington and shepherd branch,4720 WASHINGTON AVE,Harris,TX,77007.0
memorial and asbury branch,5510 MEMORIAL DRIVE,Harris,TX,77007.0
yale & ih 10 banking center branch,175 YALE STREET,Harris,TX,77007.0
reagan motor bank branch,500 WEST 20TH STREET,Harris,TX,77008.0
reagon motor bank branch,500 WEST 20TH STREET,Harris,TX,77008.0
north loop branch,1421 NORTH LOOP WEST,Harris,TX,77008.0
the park branch,"1200 MCKINNEY, SUITE 433",Harris,TX,77010.0
capitol branch,6816 CAPITOL,Harris,TX,77011.0
i-10 east banking center branch,13706 EAST FREEWAY,Harris,TX,77015.0
woodforest and uvalde branch,13378 WOODFORST BLVD,Harris,TX,77015.0
gulf freeway branch,8411 GULF FREEWAY,Harris,TX,77017.0
oak forest team branch,4320 ELLA BOULEVARD,Harris,TX,77018.0
oak forest and w43rd st branch,1351 W 43RD,Harris,TX,77018.0
shepherd & 34th banking cntr branch,3209 NORTH SHEPHERD DRIVE,Harris,TX,77018.0
